Year,StationID,Replicate,SampleDate,Matrix,Parameter,Field1,Qualifier,Result_Units,Result,MDL,RL,Class,latitude,longitude
2013,B13-9186,1,7/17/13,Sediment,Zinc,,,ug/g dw,48.4,0.25,0.25,METAL,33.565218,-117.84751
2013,B13-9190,1,7/31/13,Sediment,Zinc,,,ug/g dw,92.9,4000,5000,METAL,33.57922,-118.32894
2013,B13-9192,1,7/31/13,Sediment,Zinc,,,ug/g dw,31.8,0.15,0.15,METAL,33.581201,-117.868083
2013,B13-9193,1,7/15/13,Sediment,Zinc,,,ug/g dw,59.2,0.15,0.15,METAL,33.58505,-118.11346
2013,B13-9194,1,7/17/13,Sediment,Zinc,,,ug/g dw,46.9,0.15,0.15,METAL,33.589933,-117.894645
2013,B13-9197,1,7/16/13,Sediment,Zinc,,,ug/g dw,96.9,0.15,0.15,METAL,33.600301,-117.933219
2013,B13-9199,1,7/15/13,Sediment,Zinc,,,ug/g dw,30,0.15,0.15,METAL,33.601949,-118.056462
2013,B13-9201,1,7/31/13,Sediment,Zinc,,,ug/g dw,110,4000,5000,METAL,33.61355,-118.72014
2013,B13-9202,1,7/10/13,Sediment,Zinc,,,ug/g dw,36.8,4000,5000,METAL,33.621,-118.195
2013,B13-9204,1,7/15/13,Sediment,Zinc,,,ug/g dw,21.5,0.15,0.15,METAL,33.627799,-117.987516
2013,B13-9205,1,8/28/13,Sediment,Zinc,,,ug/g dw,66.2,4000,5000,METAL,33.63057,-118.26751
2013,B13-9207,1,8/29/13,Sediment,Zinc,,,ug/g dw,116,4000,5000,METAL,33.63781,-118.30256
2013,B13-9210,1,8/28/13,Sediment,Zinc,,,ug/g dw,122,4000,5000,METAL,33.6391,-118.34243
2013,B13-9211,1,8/29/13,Sediment,Zinc,,,ug/g dw,115,4000,5000,METAL,33.64003,-118.33711
2013,B13-9214,1,7/15/13,Sediment,Zinc,,,ug/g dw,23.2,4000,5000,METAL,33.6434,-118.078743
2013,B13-9217,1,7/10/13,Sediment,Zinc,,,ug/g dw,26.2,4000,5000,METAL,33.6481,-118.149
2013,B13-9219,1,7/13/13,Sediment,Zinc,,,ug/g dw,18.5,4000,5000,METAL,33.654801,-118.058594
2013,B13-9221,1,7/10/13,Sediment,Zinc,,,ug/g dw,30.6,4000,5000,METAL,33.6596,-118.131
2013,B13-9223,1,7/8/13,Sediment,Zinc,,,ug/g dw,191,4000,5000,METAL,33.6759,-118.332
2013,B13-9225,1,8/28/13,Sediment,Zinc,,,ug/g dw,94.4,4000,5000,METAL,33.68738,-118.52052
2013,B13-9228,1,7/8/13,Sediment,Zinc,,,ug/g dw,111,4000,5000,METAL,33.6942,-118.347
2013,B13-9229,1,7/9/13,Sediment,Zinc,,,ug/g dw,42.1,4000,5000,METAL,33.6952,-118.296
2013,B13-9231,1,8/28/13,Sediment,Zinc,,,ug/g dw,180,4000,5000,METAL,33.69811,-118.43213
2013,B13-9236,1,8/27/13,Sediment,Zinc,,,ug/g dw,144,4000,5000,METAL,33.71168,-118.4589
2013,B13-9237,1,12/3/13,Sediment,Zinc,,,ug/g dw,112,4000,5000,METAL,33.7215,-118.418
2013,B13-9239,1,7/9/13,Sediment,Zinc,,,ug/g dw,43.9,0.15,0.15,METAL,33.722133,-118.155283
2013,B13-9241,1,12/3/13,Sediment,Zinc,,,ug/g dw,128,4000,5000,METAL,33.72519,-118.45571
2013,B13-9245,1,7/11/13,Sediment,Zinc,,,ug/g dw,38.5,0.15,0.15,METAL,33.733383,-118.122033
2013,B13-9246,1,12/3/13,Sediment,Zinc,,,ug/g dw,94.6,4000,5000,METAL,33.73593,-118.52812
2013,B13-9250,1,12/3/13,Sediment,Zinc,,,ug/g dw,71.5,4000,5000,METAL,33.7604,-118.54171
2013,B13-9251,1,7/9/13,Sediment,Zinc,,,ug/g dw,76.2,4000,5000,METAL,33.7671,-118.46
2013,B13-9257,1,12/3/13,Sediment,Zinc,,,ug/g dw,9.16,4000,5000,METAL,33.829433,-118.401283
2013,B13-9259,1,8/14/13,Sediment,Zinc,,,ug/g dw,107.5609756,0.61,2,METAL,33.83245,-118.64885
2013,B13-9263,1,7/26/13,Sediment,Zinc,,,ug/g dw,33.28651685,0.61,2,METAL,33.84815,-118.56745
2013,B13-9265,1,7/30/13,Sediment,Zinc,,,ug/g dw,75.5,4000,5000,METAL,33.85208,-119.19431
2013,B13-9266,1,7/26/13,Sediment,Zinc,,,ug/g dw,37.96033994,0.61,2,METAL,33.860133,-118.447783
2013,B13-9267,1,7/26/13,Sediment,Zinc,,,ug/g dw,53.73831776,0.61,2,METAL,33.860733,-118.55905
2013,B13-9277,1,7/25/13,Sediment,Zinc,,,ug/g dw,88.64864865,0.61,2,METAL,33.918483,-118.563133
2013,B13-9281,1,8/13/13,Sediment,Zinc,,,ug/g dw,100.8928571,0.61,2,METAL,33.921533,-118.6502
2013,B13-9284,1,9/10/13,Sediment,Zinc,,,ug/g dw,115.339233,0.61,2,METAL,33.93569,-118.89715
2013,B13-9285,1,7/25/13,Sediment,Zinc,,,ug/g dw,56.84647303,0.61,2,METAL,33.935267,-118.5522
2013,B13-9287,1,7/23/13,Sediment,Zinc,,,ug/g dw,104.3307087,0.61,2,METAL,33.935633,-118.591933
2013,B13-9290,1,9/10/13,Sediment,Zinc,,,ug/g dw,58.58334813,0.61,2,METAL,33.94136,-118.8445
2013,B13-9292,1,7/25/13,Sediment,Zinc,,,ug/g dw,44.91525424,0.61,2,METAL,33.943783,-118.519783
2013,B13-9295,1,9/10/13,Sediment,Zinc,,,ug/g dw,69.31818182,0.61,2,METAL,33.95007,-118.83696
2013,B13-9303,1,7/26/13,Sediment,Zinc,,,ug/g dw,30.16085791,0.61,2,METAL,33.962433,-118.476117
2013,B13-9305,1,8/12/13,Sediment,Zinc,,,ug/g dw,112.4694377,0.61,2,METAL,33.966217,-118.811417
2013,B13-9307,1,7/29/13,Sediment,Zinc,,,ug/g dw,15.75342466,0.61,2,METAL,33.96886,-119.07025
